City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
128,Udachnyy,RU,66.42,112.4,59.0,30,75,4.47,broken clouds,0.0,0.0
129,Tuatapere,NZ,-46.13,167.68,52.5,67,1,2.84,clear sky,0.0,0.0
130,Dunedin,NZ,-45.87,170.5,54.0,78,0,3.0,clear sky,0.0,0.0
131,Dawlatabad,AF,36.41,64.91,90.18,11,0,7.18,clear sky,0.0,0.0
132,Georgetown,MY,5.41,100.34,87.8,74,20,3.36,few clouds,0.0,0.0
133,Lanxi,CN,29.22,119.48,76.69,80,100,1.77,overcast clouds,0.0,0.0
134,Ormara,PK,25.21,64.64,85.06,79,29,4.0,scattered clouds,0.0,0.0
135,Waipawa,NZ,-41.41,175.52,57.0,77,100,4.0,moderate rain,1.02,0.0
136,Victoria,HK,22.29,114.16,89.6,66,40,13.87,scattered clouds,0.0,0.0
137,Margate,GB,51.38,1.39,57.0,83,12,1.01,few clouds,0.0,0.0
138,Tolbazy,RU,54.02,55.88,66.2,63,0,13.42,clear sky,0.0,0.0
139,Dudinka,RU,69.41,86.18,39.2,69,75,11.18,broken clouds,0.0,0.0
140,Cabo San Lucas,MX,22.89,-109.91,79.0,57,5,16.11,clear sky,0.0,0.0
141,Yuancheng,CN,36.65,107.79,78.93,16,100,23.69,overcast clouds,0.0,0.0
142,Castro,BR,-24.79,-50.01,56.05,93,0,5.44,clear sky,0.0,0.0
143,Oktyabrskiy,RU,54.48,53.47,60.82,80,4,13.85,clear sky,0.0,0.0
144,Zurrieq,MT,35.83,14.47,64.99,88,20,8.05,few clouds,0.0,0.0
145,Poum,NC,-20.23,164.02,75.65,82,25,9.33,scattered clouds,0.0,0.0
146,East London,ZA,-33.02,27.91,62.6,42,1,10.29,clear sky,0.0,0.0
147,Golden,US,39.76,-105.22,73.99,40,75,5.82,broken clouds,0.0,0.0
148,Humaita,BR,-7.51,-63.02,72.84,95,96,0.81,overcast clouds,0.0,0.0
149,Bambanglipuro,ID,-7.95,110.28,85.71,73,84,12.59,light rain,0.21,0.0
150,Chokurdakh,RU,70.63,147.92,52.03,41,100,5.64,overcast clouds,0.0,0.0
151,Yellowknife,CA,62.46,-114.35,48.2,49,90,17.22,overcast clouds,0.0,0.0
152,Torbay,CA,47.67,-52.73,57.2,93,90,14.99,overcast clouds,0.0,0.0
153,Port Hawkesbury,CA,45.62,-61.35,54.0,100,99,5.48,light rain,0.12,0.0
154,Qasigiannguit,GL,68.82,-51.19,35.6,92,100,2.24,overcast clouds,0.0,0.0
155,Makubetsu,JP,45.37,141.82,75.2,36,20,20.8,few clouds,0.0,0.0
156,Pangnirtung,CA,66.15,-65.71,23.61,91,100,2.68,overcast clouds,0.0,0.0
157,Provideniya,RU,64.38,-173.3,59.0,47,0,15.66,clear sky,0.0,0.0
158,Magdagachi,RU,53.45,125.8,62.28,36,99,7.0,overcast clouds,0.0,0.0
159,San Quintin,MX,30.48,-115.95,63.68,84,0,13.65,clear sky,0.0,0.0
