City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
185,Gumdag,TM,2020-05-28 05:01:58,39.21,54.59,77.14,42,0,7.09
186,Kyren,RU,2020-05-28 05:01:58,51.68,102.14,45.9,58,100,2.95
187,Junnar,IN,2020-05-28 05:01:58,19.2,73.88,88.02,40,30,14.43
188,Kaitangata,NZ,2020-05-28 05:01:58,-46.28,169.85,48.0,81,32,2.95
189,Curup,ID,2020-05-28 05:01:58,-3.47,102.53,86.61,50,100,1.9
190,Barrow,US,2020-05-28 04:58:09,71.29,-156.79,30.2,92,40,4.7
191,Destin,US,2020-05-28 05:01:59,30.39,-86.5,79.0,88,20,4.7
192,Keuruu,FI,2020-05-28 05:01:59,62.27,24.7,51.8,71,76,6.93
193,Batagay,RU,2020-05-28 05:01:59,67.63,134.63,36.9,83,100,10.67
194,Tuni,IN,2020-05-28 05:01:59,17.35,82.55,95.0,54,45,10.07
195,Qaanaaq,GL,2020-05-28 05:01:59,77.48,-69.36,24.22,94,100,0.45
196,Caravelas,BR,2020-05-28 05:01:59,-17.71,-39.25,70.92,70,0,8.41
197,Hami,CN,2020-05-28 05:02:00,42.8,93.45,77.13,26,84,33.15
198,Mayo,US,2020-05-28 05:02:00,38.89,-76.51,71.6,83,90,8.05
199,Matara,LK,2020-05-28 05:02:00,5.95,80.54,82.35,84,100,10.18
200,Sola,VU,2020-05-28 05:02:00,-13.88,167.55,80.98,79,24,17.49
201,San Roque,ES,2020-05-28 05:02:01,36.21,-5.38,66.2,88,40,16.11
202,Buala,SB,2020-05-28 05:02:01,-8.14,159.59,84.43,73,98,9.19
203,Yuxia,CN,2020-05-28 05:02:01,34.06,108.63,84.2,26,94,4.47
204,Kungurtug,RU,2020-05-28 05:02:01,50.6,97.52,40.14,72,100,5.7
205,Yaan,NG,2020-05-28 05:02:01,7.38,8.57,75.45,94,100,6.15
206,Nouakchott,MR,2020-05-28 05:00:48,18.09,-15.98,73.4,78,0,12.75
207,Erenhot,CN,2020-05-28 05:02:01,43.65,111.98,85.21,14,0,16.11
208,Bria,CF,2020-05-28 05:02:02,6.54,21.99,71.71,90,34,1.57
209,Praia Da Vitoria,PT,2020-05-28 05:02:02,38.73,-27.07,59.0,77,20,13.58
210,Kankon,IN,2020-05-28 05:02:02,15.02,74.02,87.91,65,29,12.37
211,Mount Gambier,AU,2020-05-28 05:02:02,-37.83,140.77,59.0,87,75,9.17
212,Nchelenge,ZM,2020-05-28 05:02:02,-9.35,28.73,70.21,63,58,2.06
213,Kurchum,KZ,2020-05-28 05:02:02,48.57,83.65,64.62,29,0,18.75
214,Lae,PG,2020-05-28 05:02:02,-6.72,146.98,85.95,58,56,7.0
215,Palmer,US,2020-05-28 04:59:37,42.16,-72.33,68.0,82,1,9.17
216,Nsoko,SZ,2020-05-28 05:02:03,-27.03,31.95,37.4,86,0,1.12
217,Cape Town,ZA,2020-05-28 04:58:54,-33.93,18.42,57.99,71,75,18.34
218,Mawlaik,MM,2020-05-28 05:02:03,23.63,94.42,87.6,55,100,1.7
219,Hirara,JP,2020-05-28 05:02:03,24.8,125.28,84.2,78,75,8.05
220,Hovd,MN,2020-05-28 05:02:04,48.01,91.64,42.33,63,100,1.9
221,Opuwo,NA,2020-05-28 05:02:04,-18.06,13.84,54.25,62,17,4.18
222,Egvekinot,RU,2020-05-28 05:02:04,66.32,-179.17,31.33,100,100,5.77
223,Qarchi Gak,AF,2020-05-28 05:02:04,37.04,66.79,89.6,28,20,3.36
224,Yerbogachen,RU,2020-05-28 05:02:04,61.28,108.01,45.75,54,100,8.86
225,Mocuba,MZ,2020-05-28 05:02:04,-16.84,36.99,70.93,97,81,4.38
226,Port Lincoln,AU,2020-05-28 05:02:04,-34.73,135.87,62.2,59,22,11.14
227,Sibu,MY,2020-05-28 05:02:04,2.3,111.82,87.8,74,75,8.05
228,Torbay,CA,2020-05-28 05:02:05,47.67,-52.73,37.0,69,75,5.82
229,Bandarbeyla,SO,2020-05-28 05:02:05,9.49,50.81,86.52,62,73,22.57
230,Kupang,ID,2020-05-28 05:02:05,-10.17,123.58,82.4,83,75,4.7
231,Altamont,US,2020-05-28 04:57:51,42.21,-121.74,71.6,53,1,6.93
232,Tomiya,JP,2020-05-28 05:02:05,38.39,140.89,71.6,40,40,12.75
233,Avera,US,2020-05-28 05:02:05,33.19,-82.53,69.8,93,75,5.26
234,Libertador General San Martin,AR,2020-05-28 05:02:05,-23.81,-64.79,58.91,60,0,1.83
235,Yar-Sale,RU,2020-05-28 05:02:06,66.83,70.83,53.19,43,58,15.23
236,Daru,PG,2020-05-28 05:02:06,-9.08,143.21,80.31,81,85,16.35
237,Haapiti,PF,2020-05-28 05:02:06,-17.57,-149.87,80.6,78,75,5.82
238,Sumkino,RU,2020-05-28 05:02:06,58.11,68.32,67.64,51,59,13.42
239,Mahebourg,MU,2020-05-28 05:02:06,-20.41,57.7,77.0,73,40,12.75
240,Yichang,CN,2020-05-28 05:02:06,30.71,111.28,89.62,30,99,3.62
241,Ilulissat,GL,2020-05-28 05:02:06,69.22,-51.1,33.8,69,73,2.24
242,Ketchikan,US,2020-05-28 05:02:06,55.34,-131.65,55.4,54,40,3.02
243,Goma,CD,2020-05-28 05:00:00,-1.68,29.22,64.06,80,71,2.59
244,Santa Vitoria Do Palmar,BR,2020-05-28 05:00:08,-33.52,-53.37,51.4,91,0,7.34
245,Bambous Virieux,MU,2020-05-28 05:02:07,-20.34,57.76,78.01,73,40,12.75
246,Lorengau,PG,2020-05-28 05:02:07,-2.02,147.27,79.54,87,100,10.85
247,Broome,US,2020-05-28 05:02:07,42.25,-75.83,68.0,68,1,4.7
248,Touros,BR,2020-05-28 05:02:07,-5.2,-35.46,75.2,100,20,2.24
